id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2642993968,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-73m2-venda-RS500000-id-2642993968/,"Apartamento com 2 Quartos à Venda, 73m²","Avenida Portugal, 231 - Brooklin, São Paulo - SP",73,2 Quartos,2 Banheiros,2 Vagas,Mobiliado,R$ 500.000,R$ 560,Brooklin,2023-07-09 18:44
https://www.vivareal.com.br/imoveis-lancamento/1-just-brooklin-studio-e-1-dormitorio-2609447908,https://www.vivareal.com.br/imoveis-lancamento/1-just-brooklin-studio-e-1-dormitorio-2609447908/,1º - Just Brooklin – Studio e 1 dormitório,"Rua Joaquim Nabuco, 112 - Brooklin, São Paulo - SP",26-38,-- Quartos,1 Banheiro,-- Vaga,,R$ 412.180,,Brooklin,2023-07-09 18:44
2642951463,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-76m2-venda-RS1000000-id-2642951463/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Andréa Paulinetti, 242 - Brooklin, São Paulo - SP",76,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.000.000,R$ 760,Brooklin,2023-07-09 18:44
2642959080,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-69m2-venda-RS873252-id-2642959080/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Andréa Paulinetti, 251 - Brooklin, São Paulo - SP",69,2 Quartos,2 Banheiros,-- Vaga,"Churrasqueira
Condomínio fechado
Academia
Espaço gourmet
Playground
...",R$ 873.252,,Brooklin,2023-07-09 18:44
2634482949,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS885900-id-2634482949/,"Apartamento com 2 Quartos à Venda, 70m²","Rua Getúlio Soares da Rocha, 178 - Brooklin, São Paulo - SP",70,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 885.900,R$ 288,Brooklin,2023-07-09 18:44
2474376799,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-50m2-venda-RS736900-id-2474376799/,"Apartamento com Quarto à Venda, 50m²","Avenida Santo Amaro, 4800 - Brooklin, São Paulo - SP",50,1 Quarto,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 736.900,R$ 350,Brooklin,2023-07-09 18:44
2642695382,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-69m2-venda-RS880000-id-2642695382/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Getúlio Soares da Rocha, 174 - Brooklin, São Paulo - SP",69,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 880.000,R$ 800,Brooklin,2023-07-09 18:44
2642930882,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-76m2-venda-RS1000000-id-2642930882/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Andréa Paulinetti, 242 - Brooklin, São Paulo - SP",76,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 1.000.000,R$ 740,Brooklin,2023-07-09 18:44
https://www.vivareal.com.br/imoveis-lancamento/atelie-365-2636669766,https://www.vivareal.com.br/imoveis-lancamento/atelie-365-2636669766/,Atelie 365,"Rua Nova York, 365 - Brooklin, São Paulo - SP",151-194,3-4 Quartos,4-5 Banheiros,3 Vagas,,R$ 2.700.000,,Brooklin,2023-07-09 18:44
2642738791,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-232m2-venda-RS3240100-id-2642738791/,"Apartamento com 4 Quartos à Venda, 232m²","Rua Barão do Triunfo, 1553 - Brooklin, São Paulo - SP",232,4 Quartos,6 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 3.240.100,R$ 1,Brooklin,2023-07-09 18:44
