,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
0,2655914154,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-55m2-venda-RS400000-id-2655914154/,"Apartamento com 2 Quartos à Venda, 55m²","Rua Artur Prado, 433 - Bela Vista, São Paulo - SP",55,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",R$ 400.000,R$ 450,Bela Vista,2023-09-17 16:58
1,https://www.vivareal.com.br/imoveis-lancamento/helbor-art-paulista-2638509058,https://www.vivareal.com.br/imoveis-lancamento/helbor-art-paulista-2638509058/,Helbor Art Paulista,"Rua Aguiar de Barros, 36 - Bela Vista, São Paulo - SP",66,2 Quartos,2 Banheiros,1 Vaga,,R$ 807.570,,Bela Vista,2023-09-17 16:58
2,2655870171,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-42m2-venda-RS250000-id-2655870171/,Apartamento com Quarto para Venda/Aluguel 42m²,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP",42,1 Quarto,1 Banheiro,-- Vaga,Cozinha,R$ 250.000,R$ 471,Bela Vista,2023-09-17 16:58
3,2655875725,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-62m2-venda-RS620000-id-2655875725/,"Apartamento com 2 Quartos à Venda, 62m²","Bela Vista, São Paulo - SP",62,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 620.000,R$ 750,Bela Vista,2023-09-17 16:58
4,2655823961,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-65m2-venda-RS1399970-id-2655823961/,"Apartamento com Quarto à Venda, 65m²","Alameda Rio Claro, 95 - Bela Vista, São Paulo - SP",65,1 Quarto,2 Banheiros,1 Vaga,"Playground
Salão de festas
Área de serviço",R$ 1.399.970,R$ 946,Bela Vista,2023-09-17 16:58
5,2649333862,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-66m2-venda-RS500000-id-2649333862/,"Apartamento com Quarto à Venda, 66m²","Praça General Craveiro Lopes, 19 - Bela Vista, São Paulo - SP",66,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Interfone
Varanda",R$ 500.000,R$ 427,Bela Vista,2023-09-17 16:58
6,2655998730,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-55m2-venda-RS350000-id-2655998730/,Apartamento com 2 Quartos para Venda/Aluguel 55m²,"Rua Francisca Miquelina - Bela Vista, São Paulo - SP",55,2 Quartos,1 Banheiro,-- Vaga,"Elevador
Aceita animais
Área de serviço
Cozinha
Depósito
...",R$ 350.000,R$ 370,Bela Vista,2023-09-17 16:58
7,2655573696,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-60m2-venda-RS790000-id-2655573696/,"Apartamento com Quarto à Venda, 60m²","Rua Cincinato Braga, 306 - Bela Vista, São Paulo - SP",60,1 Quarto,1 Banheiro,1 Vaga,Varanda,R$ 790.000,R$ 1.700,Bela Vista,2023-09-17 16:58
8,https://www.vivareal.com.br/imoveis-lancamento/haus-mitre-jardins-by-2644776573,https://www.vivareal.com.br/imoveis-lancamento/haus-mitre-jardins-by-2644776573/,Haus Mitre Jardins BY,"Rua Itapeva, 342 - Bela Vista, São Paulo - SP",132,3 Quartos,3-4 Banheiros,2 Vagas,,"A partir de
R$ 3.381.000",,Bela Vista,2023-09-17 16:58
9,2654496185,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-36m2-venda-RS440000-id-2654496185/,"Apartamento com Quarto à Venda, 36m²","Rua Almirante Marques de Leão, 730 - Bela Vista, São Paulo - SP",36,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Varanda
Academia
Espaço gourmet
...",R$ 440.000,R$ 370,Bela Vista,2023-09-17 16:58
10,2643258026,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-34m2-venda-RS355000-id-2643258026/,"Apartamento com Quarto à Venda, 34m²","Rua Genebra, 197 - Bela Vista, São Paulo - SP",34,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 355.000,R$ 400,Bela Vista,2023-09-17 16:58
11,2644831501,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-42m2-venda-RS298000-id-2644831501/,"Apartamento com Quarto à Venda, 42m²","Rua Humaitá, 349 - Bela Vista, São Paulo - SP",42,1 Quarto,1 Banheiro,1 Vaga,"Portaria 24h
Aceita animais
Mobiliado",R$ 298.000,R$ 600,Bela Vista,2023-09-17 16:58
12,2655790092,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-57m2-venda-RS375000-id-2655790092/,"Apartamento com 2 Quartos à Venda, 57m²","Avenida Nove de Julho, 1101 - Bela Vista, São Paulo - SP",57,2 Quartos,1 Banheiro,1 Vaga,,R$ 375.000,R$ 550,Bela Vista,2023-09-17 16:58
13,2655483629,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-64m2-venda-RS950000-id-2655483629/,"Apartamento com 2 Quartos à Venda, 64m²","Rua Aguiar de Barros, 36 - Bela Vista, São Paulo - SP",64,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 950.000,R$ 650,Bela Vista,2023-09-17 16:58
14,2655572386,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-40m2-venda-RS560000-id-2655572386/,"Apartamento com Quarto à Venda, 40m²","Rua Paim, 352 - Bela Vista, São Paulo - SP",40,1 Quarto,1 Banheiro,1 Vaga,Varanda,R$ 560.000,R$ 550,Bela Vista,2023-09-17 16:58
15,https://www.vivareal.com.br/imoveis-lancamento/pronto-brigadeiro-luis-antonio-2643500671,https://www.vivareal.com.br/imoveis-lancamento/pronto-brigadeiro-luis-antonio-2643500671/,Pronto - Brigadeiro Luis Antonio,"Rua Aguiar de Barros, 36 - Bela Vista, São Paulo - SP",64-66,1-2 Quartos,1-2 Banheiros,1 Vaga,,R$ 799.000,,Bela Vista,2023-09-17 16:58
16,2655931397,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-33m2-venda-RS334900-id-2655931397/,"Apartamento com Quarto à Venda, 33m²","Rua Conselheiro Ramalho, 849 - Bela Vista, São Paulo - SP",33,1 Quarto,1 Banheiro,-- Vaga,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",R$ 334.900,R$ 378,Bela Vista,2023-09-17 16:58
17,2648671267,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-75m2-venda-RS1499900-id-2648671267/,"Apartamento com 2 Quartos à Venda, 75m²","Alameda Ribeirão Preto, 438 - Bela Vista, São Paulo - SP",75,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Condomínio fechado
Varanda
Academia
Espaço gourmet
...",R$ 1.499.900,R$ 1.270,Bela Vista,2023-09-17 16:58
18,2639506102,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-31m2-venda-RS399000-id-2639506102/,"Apartamento com Quarto à Venda, 31m²","Bela Vista, São Paulo - SP",31,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Varanda
...",R$ 399.000,R$ 500,Bela Vista,2023-09-17 16:58
19,2654531461,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-com-garagem-78m2-venda-RS889990-id-2654531461/,"Apartamento com 3 Quartos à Venda, 78m²","Rua Santa Madalena, 220 - Bela Vista, São Paulo - SP",78,3 Quartos,2 Banheiros,2 Vagas,"Playground
Salão de jogos
Ar-condicionado
Salão de festas
Área de serviço",R$ 889.990,R$ 1.082,Bela Vista,2023-09-17 16:58
20,2655697886,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-39m2-venda-RS520000-id-2655697886/,"Apartamento com Quarto à Venda, 39m²","Rua Doutor Plínio Barreto, 141 - Bela Vista, São Paulo - SP",39,1 Quarto,1 Banheiro,1 Vaga,,R$ 520.000,R$ 470,Bela Vista,2023-09-17 16:58
21,2648456260,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-27m2-venda-RS410000-id-2648456260/,"Apartamento com Quarto à Venda, 27m²","Rua Almirante Marques de Leão, 730 - Bela Vista, São Paulo - SP",27,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 410.000,R$ 270,Bela Vista,2023-09-17 16:58
22,2643230661,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-40m2-venda-RS395000-id-2643230661/,"Apartamento com Quarto à Venda, 40m²","Rua Doutor Plínio Barreto, 10 - Bela Vista, São Paulo - SP",40,1 Quarto,1 Banheiro,1 Vaga,"Elevador
Interfone
Aceita animais",R$ 395.000,,Bela Vista,2023-09-17 16:58
23,2655793277,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-56m2-venda-RS300000-id-2655793277/,"Apartamento com Quarto à Venda, 56m²","Rua Jaceguai, 87 - Bela Vista, São Paulo - SP",56,1 Quarto,1 Banheiro,-- Vaga,"Cozinha
Área de serviço
Aceita animais","R$ 300.000
Preço abaixo do mercado",R$ 600,Bela Vista,2023-09-17 16:58
24,2645120563,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-33m2-venda-RS560000-id-2645120563/,Apartamento com Quarto para Venda/Aluguel 33m²,"Rua Dona Antônia de Queirós - Bela Vista, São Paulo - SP",33,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Varanda
Aceita animais
...",R$ 560.000,R$ 801,Bela Vista,2023-09-17 16:58
25,2655459570,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-com-garagem-61m2-venda-RS560000-id-2655459570/,"Apartamento com 2 Quartos à Venda, 61m²","Rua Doutor Fausto Ferraz, 119 - Bela Vista, São Paulo - SP",61,2 Quartos,2 Banheiros,1 Vaga,,R$ 560.000,R$ 800,Bela Vista,2023-09-17 16:58
26,2580072521,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-32m2-venda-RS292000-id-2580072521/,"Apartamento com Quarto à Venda, 32m²","Rua Almirante Marques de Leão, 600 - Bela Vista, São Paulo - SP",32,1 Quarto,1 Banheiro,1 Vaga,"Garagem
Sistema de alarme
Condomínio fechado",R$ 292.000,R$ 391,Bela Vista,2023-09-17 16:58
27,2639262876,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-24m2-venda-RS335000-id-2639262876/,"Apartamento com Quarto à Venda, 24m²","Rua Doutor Penaforte Mendes, 69 - Bela Vista, São Paulo - SP",24,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...",R$ 335.000,R$ 350,Bela Vista,2023-09-17 16:58
28,2625103560,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-35m2-venda-RS522280-id-2625103560/,"Apartamento com Quarto à Venda, 35m²","Rua Santo Antônio, 1 - Bela Vista, São Paulo - SP",35,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",R$ 522.280,R$ 570,Bela Vista,2023-09-17 16:58
29,2653040654,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-37m2-venda-RS432000-id-2653040654/,"Apartamento com Quarto à Venda, 37m²","Rua Almirante Marques de Leão, 730 - Bela Vista, São Paulo - SP",37,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 432.000,R$ 395,Bela Vista,2023-09-17 16:58
30,2628451879,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-48m2-venda-RS566450-id-2628451879/,"Apartamento com Quarto à Venda, 48m²","Rua João Passalaqua, 167 - Bela Vista, São Paulo - SP",48,1 Quarto,1 Banheiro,-- Vaga,,R$ 566.450,R$ 1,Bela Vista,2023-09-17 16:58
31,2655867261,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bela-vista-centro-sao-paulo-com-garagem-65m2-venda-RS1399970-id-2655867261/,"Apartamento com Quarto à Venda, 65m²","Alameda Rio Claro, 95 - Bela Vista, São Paulo - SP",65,1 Quarto,2 Banheiros,1 Vaga,"Playground
Salão de festas
Área de serviço",R$ 1.399.970,R$ 946,Bela Vista,2023-09-17 16:58
32,2642989482,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-centro-sao-paulo-110m2-venda-RS470000-id-2642989482/,"Apartamento com 2 Quartos à Venda, 110m²","Rua Genebra, 43 - Bela Vista, São Paulo - SP",110,2 Quartos,2 Banheiros,-- Vaga,"Condomínio fechado
Aceita animais
Perto de escolas
Perto de hospitais
Perto de shopping
...",R$ 470.000,R$ 920,Bela Vista,2023-09-17 16:58
33,2654083403,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-150m2-venda-RS899999-id-2654083403/,"Apartamento com 3 Quartos à Venda, 150m²","Rua Rocha - Bela Vista, São Paulo - SP",150,3 Quartos,2 Banheiros,-- Vaga,"Cozinha
Interfone
Área de serviço
Aceita animais","R$ 899.999
Preço abaixo do mercado",R$ 406,Bela Vista,2023-09-17 16:58
34,2654232301,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bela-vista-centro-sao-paulo-com-garagem-241m2-venda-RS2300000-id-2654232301/,"Apartamento com 3 Quartos à Venda, 241m²","Rua dos Ingleses, 1 - Bela Vista, São Paulo - SP",241,3 Quartos,4 Banheiros,2 Vagas,,R$ 2.300.000,,Bela Vista,2023-09-17 16:58
