iter	RMSE
0	716047.473
1	627835.0323
2	560504.4663
3	510477.2475
4	471926.9147
5	444846.0376
6	422454.6273
7	407327.2915
8	398250.2698
9	388251.3913
10	379885.9279
11	374499.5246
12	367451.6216
13	361055.1221
14	357022.4126
15	354492.7053
16	352298.3938
17	350177.2836
18	346282.2192
19	342555.9726
20	339008.1814
21	336472.0584
22	334247.4755
23	331778.1815
24	328299.1556
25	327094.1557
26	324877.2501
27	324693.8907
28	323351.5827
29	321410.3535
30	319801.3591
31	319014.8579
32	317771.7038
33	317280.4821
34	316661.712
35	315349.9356
36	313858.2208
37	312166.2861
38	312068.795
39	310940.4852
40	310684.2995
41	309090.1427
42	308994.1373
43	308773.2607
44	307481.6518
45	305115.4228
46	303762.9907
47	303234.756
48	302948.9627
49	302364.8454
50	302302.1733
51	300646.5996
52	298417.102
53	296526.6863
54	295450.2814
55	293197.024
56	292200.3148
57	289794.8438
58	289694.0461
59	289650.6706
60	288164.8587
61	286479.7603
62	284888.673
63	283862.8447
64	282568.0557
65	282483.1857
66	281538.2717
67	280939.2315
68	279333.2365
69	278279.719
70	277763.031
71	276636.3778
72	275715.556
73	275432.6211
74	275025.1762
75	273720.616
76	272142.2233
77	271563.3272
78	271310.9832
79	270384.4472
80	269101.4589
81	267777.464
82	266941.3337
83	266681.4845
84	265491.76
85	264424.8703
86	263150.1273
87	262240.2557
88	261614.2307
89	261031.249
90	260056.4948
91	260034.8018
92	259311.6121
93	258817.4381
94	258333.2594
95	257112.8341
96	256448.619
97	255074.9442
98	253272.1516
99	252623.9384
100	252457.0159
101	251513.8425
102	250489.633
103	249679.9168
104	249263.0229
105	248043.7077
106	247244.0267
107	246088.4079
108	245857.1123
109	244879.6373
110	244870.6668
111	244116.794
112	243620.3548
113	242720.6175
114	242569.6264
115	241913.7549
116	241424.4458
117	240694.8391
118	240378.3298
119	239297.6652
120	239217.1379
121	238788.7124
122	238594.1336
123	237922.8982
124	237407.934
125	236178.3799
126	236167.9912
127	235678.4206
128	235141.0086
129	234383.2178
130	234026.8626
131	233397.3267
132	233368.3672
133	232578.247
134	231442.9857
135	230810.0089
136	230198.641
137	230126.4101
138	230046.6867
139	229888.351
140	229485.022
141	228504.0139
142	227789.2213
143	227778.6722
144	227740.3362
145	227308.9896
146	226959.1814
147	226369.997
148	225312.4539
149	225291.2516
150	224539.863
151	223950.7577
152	222653.7506
153	222269.1717
154	221740.6642
155	221715.7245
156	221567.6189
157	220825.6419
158	219928.2403
159	219327.9116
160	219200.3671
161	218991.3917
162	217884.3698
163	217298.3087
164	216744.2046
165	216670.8748
166	216306.0517
167	215625.069
168	214919.1697
169	214188.2947
170	213920.2038
171	213399.7899
172	213116.5707
173	212316.979
174	211674.7878
175	211661.9102
176	211006.5902
177	210645.5225
178	210492.157
179	210473.6638
180	210037.3243
181	210019.8214
182	209326.9477
183	208898.8561
184	208694.8796
185	208489.3024
186	208406.6039
187	207732.6533
188	207546.4972
189	206953.2186
190	206727.486
191	206620.2031
192	206582.1917
193	206205.7876
194	205782.5799
195	205512.4136
196	205483.6453
197	204914.239
198	204172.5912
199	203814.3641
