iter	Passed	Remaining
0	47	47279
1	48	23981
2	48	16196
3	49	12320
4	50	9983
5	50	8429
6	51	7328
7	52	6489
8	53	5838
9	53	5319
10	54	4903
11	55	4563
12	56	4263
13	56	4002
14	57	3779
15	58	3593
16	59	3422
17	59	3267
18	60	3131
19	61	3004
20	62	2904
21	63	2815
22	64	2720
23	64	2633
24	65	2551
25	66	2488
26	67	2425
27	68	2362
28	69	2311
29	69	2258
30	70	2209
31	71	2158
32	72	2111
33	72	2068
34	73	2031
35	74	1993
36	75	1955
37	75	1920
38	76	1885
39	77	1852
40	77	1821
41	78	1793
42	79	1765
43	79	1737
44	80	1711
45	81	1685
46	81	1661
47	82	1639
48	83	1617
49	84	1596
50	84	1579
51	85	1561
52	86	1543
53	87	1526
54	87	1509
55	88	1496
56	89	1479
57	90	1464
58	90	1449
59	91	1437
60	92	1423
61	93	1409
62	93	1395
63	94	1381
64	95	1368
65	95	1358
66	96	1346
67	97	1333
68	97	1322
69	98	1313
70	99	1302
71	100	1293
72	101	1283
73	101	1274
74	102	1264
75	103	1255
76	103	1246
77	104	1238
78	105	1230
79	106	1221
80	106	1213
81	107	1204
82	108	1196
83	108	1187
84	109	1180
85	110	1172
86	111	1164
87	111	1157
88	112	1150
89	113	1143
90	113	1135
91	114	1128
92	115	1122
93	115	1115
94	116	1109
95	117	1102
96	117	1096
97	118	1089
98	119	1084
99	119	1078
100	120	1071
101	121	1066
102	121	1060
103	122	1058
104	124	1060
105	125	1055
106	125	1048
107	126	1042
108	126	1037
109	127	1033
110	128	1027
111	129	1022
112	130	1021
113	130	1017
114	131	1013
115	132	1008
116	133	1004
117	133	1000
118	134	996
119	135	992
120	136	987
121	136	984
122	137	980
123	138	977
124	139	973
125	139	967
126	140	963
127	140	959
128	141	955
129	142	952
130	142	948
131	143	944
132	144	940
133	144	935
134	145	931
135	146	928
136	146	922
137	147	919
138	147	916
139	148	912
140	149	910
141	149	905
142	150	902
143	151	899
144	152	896
145	152	894
146	153	891
147	155	894
148	156	892
149	156	888
150	157	885
151	158	881
152	158	879
153	159	875
154	160	872
155	160	870
156	161	866
157	162	864
158	163	867
159	164	864
160	165	862
161	166	860
162	166	857
163	167	854
164	168	852
165	169	849
166	169	847
167	170	845
168	171	844
169	172	841
170	172	838
171	173	835
172	174	833
173	174	830
174	175	828
175	176	825
176	177	823
177	177	820
178	178	817
179	178	815
180	179	812
181	180	810
182	180	807
183	181	805
184	182	802
185	182	800
186	183	798
187	184	796
188	185	794
189	185	792
190	186	790
191	187	788
192	188	786
193	188	784
194	189	781
195	190	779
196	190	777
197	191	777
198	192	775
199	193	773
200	194	771
201	194	769
202	195	767
203	196	766
204	197	764
205	197	762
206	198	761
207	199	759
208	200	758
209	201	756
210	201	755
211	202	753
212	203	751
213	204	750
214	205	748
215	205	746
216	206	745
217	207	743
218	207	741
219	208	739
220	209	737
221	210	736
222	210	734
223	211	732
224	212	731
225	213	729
226	213	728
227	214	726
228	216	727
229	216	725
230	217	723
231	218	721
232	218	720
233	219	718
234	220	716
235	220	715
236	221	714
237	222	712
238	223	710
239	223	708
240	224	706
241	225	705
242	225	703
243	226	701
244	227	700
245	228	699
246	228	697
247	229	696
248	230	695
249	231	693
250	231	691
251	232	690
252	233	688
253	234	687
254	234	685
255	235	684
256	236	682
257	236	681
258	237	679
259	238	677
260	238	676
261	239	674
262	240	673
263	240	671
264	241	669
265	242	668
266	242	666
267	243	665
268	244	664
269	245	663
270	246	662
271	246	660
272	247	659
273	248	658
274	249	657
275	249	655
276	250	654
277	251	652
278	251	651
279	252	649
280	253	648
281	254	646
282	254	645
283	255	643
284	256	642
285	256	640
286	257	639
287	258	638
288	258	637
289	259	635
290	260	634
291	262	637
292	263	636
293	265	636
294	265	635
295	266	634
296	267	632
297	268	631
298	268	630
299	269	628
300	270	627
301	270	626
302	271	624
303	272	623
304	273	622
305	273	621
306	274	619
307	275	618
308	276	617
309	276	616
310	277	615
311	278	613
312	278	612
313	279	611
314	280	610
315	281	609
316	282	608
317	283	607
318	283	605
319	284	604
320	285	603
321	285	601
322	286	600
323	287	598
324	287	597
325	288	596
326	289	595
327	289	594
328	290	592
329	291	591
330	292	590
331	292	589
332	293	588
333	294	587
334	295	585
335	295	584
336	296	583
337	297	582
338	298	581
339	298	580
340	299	578
341	300	577
342	300	576
343	301	574
344	302	573
345	302	572
346	303	571
347	304	569
348	305	569
349	305	568
350	306	566
351	307	566
352	308	565
353	309	564
354	310	563
355	310	562
356	311	561
357	312	560
358	313	559
359	314	558
360	314	557
361	315	555
362	316	554
363	316	553
364	317	552
365	318	551
366	318	549
367	319	548
368	320	547
369	321	546
370	321	545
371	322	544
372	323	543
373	324	542
374	325	541
375	325	540
376	326	539
377	327	538
378	327	537
379	328	536
380	329	535
381	330	534
382	330	532
383	331	531
384	332	530
385	332	529
386	333	528
387	334	527
388	334	526
389	335	525
390	336	524
391	337	522
392	337	521
393	338	520
394	339	519
395	339	518
396	340	517
397	341	516
398	341	515
399	342	514
400	343	513
401	345	514
402	346	513
403	347	512
404	347	511
405	348	510
406	349	509
407	350	507
408	350	506
409	351	505
410	352	505
411	353	503
412	353	502
413	354	501
414	355	500
415	355	499
416	356	498
417	357	497
418	357	496
419	358	495
420	359	494
421	360	493
422	360	492
423	361	491
424	362	490
425	362	489
426	363	487
427	364	486
428	364	485
429	365	484
430	366	483
431	366	482
432	367	481
433	368	480
434	369	479
435	369	478
436	370	477
437	371	476
438	372	475
439	372	474
440	373	473
441	374	472
442	374	471
443	375	470
444	376	469
445	377	468
446	378	467
447	378	466
448	379	465
449	380	464
450	380	463
451	381	462
452	382	462
453	383	461
454	384	460
455	384	459
456	385	458
457	386	457
458	386	455
459	387	454
460	388	453
461	388	452
462	389	451
463	390	450
464	390	449
465	391	448
466	392	448
467	393	447
468	393	446
469	394	445
470	395	444
471	396	443
472	396	442
473	397	441
474	398	440
475	398	439
476	399	437
477	400	437
478	400	436
479	401	435
480	402	434
481	402	432
482	403	431
483	404	430
484	404	429
485	405	428
486	406	427
487	406	426
488	407	426
489	408	425
490	409	424
491	409	423
492	410	422
493	411	421
494	411	420
495	412	419
496	413	418
497	413	417
498	414	416
499	415	415
500	415	414
501	416	413
502	417	412
503	417	411
504	418	410
505	419	409
506	419	408
507	420	407
508	421	406
509	421	405
510	422	404
511	423	403
512	423	402
513	424	401
514	425	400
515	426	399
516	427	399
517	427	398
518	428	397
519	429	396
520	429	395
521	430	394
522	431	393
523	432	392
524	432	391
525	433	390
526	434	389
527	434	388
528	435	387
529	436	386
530	436	385
531	437	384
532	438	383
533	438	382
534	439	381
535	440	381
536	440	380
537	441	379
538	442	378
539	443	377
540	443	376
541	444	375
542	445	374
543	445	373
544	446	372
545	447	371
546	447	371
547	448	370
548	449	369
549	450	368
550	450	367
551	451	366
552	452	365
553	452	364
554	453	363
555	454	362
556	454	361
557	455	360
558	456	359
559	456	359
560	457	358
561	458	357
562	459	356
563	459	355
564	460	354
565	461	353
566	461	352
567	462	351
568	463	350
569	464	350
570	464	349
571	465	348
572	466	347
573	466	346
574	467	345
575	468	344
576	468	343
577	469	342
578	470	341
579	470	340
580	471	340
581	472	339
582	472	338
583	473	337
584	474	336
585	475	335
586	475	334
587	476	333
588	477	332
589	477	332
590	478	331
591	479	330
592	479	329
593	480	328
594	481	327
595	482	327
596	483	326
597	484	325
598	484	324
599	485	323
600	486	322
601	486	321
602	487	320
603	488	320
604	488	319
605	489	318
606	490	317
607	490	316
608	491	315
609	492	314
610	492	313
611	493	312
612	494	312
613	495	311
614	495	310
615	496	309
616	497	308
617	497	307
618	498	306
619	499	306
620	500	305
621	500	304
622	501	303
623	501	302
624	502	301
625	503	300
626	504	299
627	504	299
628	505	298
629	506	297
630	506	296
631	507	295
632	508	294
633	508	293
634	509	292
635	510	292
636	511	291
637	511	290
638	512	289
639	513	288
640	513	287
641	514	286
642	514	285
643	515	285
644	516	284
645	516	283
646	517	282
647	518	281
648	518	280
649	519	279
650	520	278
651	521	278
652	521	277
653	522	276
654	523	275
655	523	274
656	524	273
657	525	272
658	525	272
659	526	271
660	527	270
661	527	269
662	528	268
663	529	267
664	530	267
665	531	266
666	532	265
667	532	264
668	533	263
669	534	263
670	534	262
671	535	261
672	536	260
673	536	259
674	537	258
675	538	258
676	539	257
677	539	256
678	540	255
679	540	254
680	541	253
681	542	252
682	543	252
683	544	251
684	545	250
685	546	250
686	547	249
687	548	248
688	548	247
689	549	246
690	550	246
