id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2642945157,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-76m2-venda-RS999000-id-2642945157/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Andréa Paulinetti, 242 - Brooklin, São Paulo - SP",76,2 Quartos,3 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 999.000,R$ 760,Brooklin,2023-07-09 14:12
https://www.vivareal.com.br/imoveis-lancamento/visconde-de-cairu-2589798345,https://www.vivareal.com.br/imoveis-lancamento/visconde-de-cairu-2589798345/,Visconde de Cairú,"Rua Geórgia, 145 - Brooklin, São Paulo - SP",75,1 Quarto,2 Banheiros,1 Vaga,,R$ 785.000,,Brooklin,2023-07-09 14:12
2642694982,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-94m2-venda-RS1265000-id-2642694982/,"Apartamento com 3 Quartos à Venda, 94m²","Rua Getúlio Soares da Rocha, 174 - Brooklin, São Paulo - SP",94,3 Quartos,3 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 1.265.000,R$ 1.000,Brooklin,2023-07-09 14:12
2642695382,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-69m2-venda-RS880000-id-2642695382/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Getúlio Soares da Rocha, 174 - Brooklin, São Paulo - SP",69,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 880.000,R$ 800,Brooklin,2023-07-09 14:12
2642959080,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-69m2-venda-RS873252-id-2642959080/,"Apartamento com 2 Quartos à Venda, 69m²","Rua Andréa Paulinetti, 251 - Brooklin, São Paulo - SP",69,2 Quartos,2 Banheiros,-- Vaga,"Churrasqueira
Condomínio fechado
Academia
Espaço gourmet
Playground
...",R$ 873.252,,Brooklin,2023-07-09 14:12
2642841619,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-26m2-venda-RS390000-id-2642841619/,"Apartamento com Quarto à Venda, 26m²","Rua Álvaro Rodrigues, 8295 - Brooklin, São Paulo - SP",26,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Mobiliado
Churrasqueira
Elevador
Ar-condicionado
...",R$ 390.000,R$ 486,Brooklin,2023-07-09 14:12
2641668508,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-62m2-venda-RS742000-id-2641668508/,"Apartamento com 2 Quartos à Venda, 62m²","Rua Joaquim Nabuco, 112 - Brooklin, São Paulo - SP",62,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 742.000,R$ 580,Brooklin,2023-07-09 14:12
2642813944,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-83m2-venda-RS885500-id-2642813944/,"Apartamento com 3 Quartos à Venda, 83m²","Rua Barão do Triunfo, 331 - Brooklin, São Paulo - SP",83,3 Quartos,2 Banheiros,2 Vagas,"Academia
Piscina
Piscina para adulto
Salão de festas",R$ 885.500,R$ 1.100,Brooklin,2023-07-09 14:12
https://www.vivareal.com.br/imoveis-lancamento/infinity-brooklin-187m-2634257655,https://www.vivareal.com.br/imoveis-lancamento/infinity-brooklin-187m-2634257655/,Infinity Brooklin - 187m²,"Rua Furnas, 55 - Brooklin, São Paulo - SP",187,2-4 Quartos,2-3 Banheiros,1-3 Vagas,,R$ 2.900.000,,Brooklin,2023-07-09 14:12
2642693358,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-38m2-venda-RS680000-id-2642693358/,"Apartamento com Quarto à Venda, 38m²","Rua Flórida - Brooklin, São Paulo - SP",38,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",R$ 680.000,R$ 500,Brooklin,2023-07-09 14:12
